To 1;Phuc Xa;Ba Dinh;Ha Noi;Bac Bo;Vietnam;*
To 2;Phuc Xa;Ba Dinh;Ha Noi;Bac Bo;Vietnam;*
Khu A;Doi Can;Ba Dinh;Ha Noi;Bac Bo;Vietnam;*
Khu B;Doi Can;Ba Dinh;Ha Noi;Bac Bo;Vietnam;*
Lang Quoc Te;Dich Vong;Cau Giay;Ha Noi;Bac Bo;Vietnam;*
Khu Cong Vien;Dich Vong;Cau Giay;Ha Noi;Bac Bo;Vietnam;*
To Dan Pho 3;Yen Hoa;Cau Giay;Ha Noi;Bac Bo;Vietnam;*
To Dan Pho 4;Yen Hoa;Cau Giay;Ha Noi;Bac Bo;Vietnam;*
Khu Du Lich;Bai Chay;Ha Long;Quang Ninh;Bac Bo;Vietnam;*
Khu Dan Cu 1;Bai Chay;Ha Long;Quang Ninh;Bac Bo;Vietnam;*
Khu Ben Pha;Hong Gai;Ha Long;Quang Ninh;Bac Bo;Vietnam;*
Khu Cho;Hong Gai;Ha Long;Quang Ninh;Bac Bo;Vietnam;*
Khu Dong Khoi;Ben Nghe;Quan 1;Ho Chi Minh;Nam Bo;Vietnam;*
Khu Le Thanh Ton;Ben Nghe;Quan 1;Ho Chi Minh;Nam Bo;Vietnam;*
Khu Phan Dinh Phung;Da Kao;Quan 1;Ho Chi Minh;Nam Bo;Vietnam;*
Khu Dinh Tien Hoang;Da Kao;Quan 1;Ho Chi Minh;Nam Bo;Vietnam;*
Khu D1;Phuong 25;Binh Thanh;Ho Chi Minh;Nam Bo;Vietnam;*
Khu D2;Phuong 25;Binh Thanh;Ho Chi Minh;Nam Bo;Vietnam;*
Khu Thi Nghe;Phuong 19;Binh Thanh;Ho Chi Minh;Nam Bo;Vietnam;*
Khu Pham Viet Chanh;Phuong 19;Binh Thanh;Ho Chi Minh;Nam Bo;Vietnam;*
Ben Ninh Kieu;Tan An;Ninh Kieu;Can Tho;Nam Bo;Vietnam;*
Cho Dem;Tan An;Ninh Kieu;Can Tho;Nam Bo;Vietnam;*
Khu Dai Hoc;Xuan Khanh;Ninh Kieu;Can Tho;Nam Bo;Vietnam;*
Khu Bo Ke;Xuan Khanh;Ninh Kieu;Can Tho;Nam Bo;Vietnam;*
