Dataset,Algorithm,Best_Fitness_mean,Best_Fitness_std,Accuracy_After_mean,Accuracy_After_std,Execution_Time_s_mean,Execution_Time_s_std,Iterations_mean,Success_mean
adult,ARO-APO,1025.0,0.0,1.0,0.0,1681.1155598719915,449.18075543922896,5.333333333333333,0.0
adult,GA,1025.0,0.0,1.0,0.0,640.4003177801768,103.10477814260608,6.966666666666667,0.0
adult,PSO,1092.4034016612336,256.5326689032034,0.9917067241284049,0.045424142704859616,456.33456975619,91.56815950868413,3.2333333333333334,0.0
cahousing,ARO-APO,57.166666666666664,0.8791172169037215,0.8083333333333333,0.0013797803852749035,1903.316782283783,426.54111290001316,6.966666666666667,1.0
cahousing,GA,56.73449612403101,0.0,0.8076550387596899,0.0,850.4970157543818,182.56136839716137,7.3,1.0
cahousing,PSO,57.09463824289406,0.8190691071613124,0.8082202842377261,0.001285534473123137,624.2991036812465,57.425120177453095,3.033333333333333,1.0
cmc,ARO-APO,36.04519774011299,0.0,0.9728813559322034,0.0,117.1768885453542,28.761724507235538,2.9,1.0
cmc,GA,36.04519774011299,0.0,0.9728813559322034,0.0,51.007017668088274,6.565677084798612,2.1666666666666665,1.0
cmc,PSO,36.23038292529817,1.014301032416975,0.9728813559322034,0.0,48.68698836167653,4.405283042556534,1.6666666666666667,1.0
italia,ARO-APO,105.0,0.0,0.2,0.0,74.79742259184519,16.582403000791164,4.3,1.0
italia,GA,105.0,0.0,0.2,0.0,35.741463176409404,6.94877574378262,4.433333333333334,1.0
italia,PSO,105.18518518518519,0.7047448102846137,0.2,0.0,34.15443921883901,8.48423727581944,4.066666666666666,1.0
medical,ARO-APO,82.86398692810458,0.7333080110703154,0.42103333333333326,0.0003651483716701118,7979.688051978747,1938.6115545958771,16.8,1.0
medical,GA,6662015.27762745,25352798.704639394,0.4212433333333333,0.0006652369727285731,3958.1939850727717,1125.2446935238497,23.366666666666667,0.9333333333333333
medical,PSO,13721412.961366015,34484967.40916072,0.4212033333333333,0.0014399433258323643,1941.1387051502863,692.937221305094,7.366666666666666,0.7666666666666667
mgm,ARO-APO,65.90963855421687,0.48143410533900816,0.5425702811244979,0.0015283622391714905,103.87177130381266,30.040309113196535,3.966666666666667,1.0
mgm,GA,98.95582329317268,181.69431024066955,0.5437751004016065,0.008798755943858094,47.44455733299255,6.468991357745263,3.1666666666666665,0.9666666666666667
mgm,PSO,65.97289156626506,0.5790090460135516,0.5427710843373494,0.0018381239555986036,43.1843811194102,8.57241641969012,2.6666666666666665,1.0
